referrer,views_total,views_unique
Google,51,26
github.com,11,6
cloudsecdocs.com,8,1
lm.facebook.com,4,3
t.co,3,1
m.facebook.com,2,2
reconshell.com,2,1
com.google.android.gm,2,1
DuckDuckGo,1,1
quip-amazon.com,1,1
