url_path,views_total,views_unique
/awslabs/aws-cloudsaga,88,65
/awslabs/aws-cloudsaga/tree/main/cloudsaga/scenarios,14,4
/awslabs/aws-cloudsaga/tree/main/cloudsaga,11,4
/awslabs/aws-cloudsaga/blob/main/cloudsaga/scenarios/mining_bitcoin.py,6,4
/awslabs/aws-cloudsaga/blob/main/cloudsaga/scenarios/iam_credentials.py,5,2
/awslabs/aws-cloudsaga/blob/main/cloudsaga/cloudsaga.py,4,2
/awslabs/aws-cloudsaga/blob/main/cloudsaga/scenarios/imds_reveal.py,3,2
/awslabs/aws-cloudsaga/blob/main/cloudsaga/scenarios/network_changes.py,3,2
/awslabs/aws-cloudsaga/tree/main/screenshots,3,2
/awslabs/aws-cloudsaga/commits,3,1
