time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-25 00:00:00+00:00,263,28,33,5
2026-04-26 00:00:00+00:00,41,16,43,6
2026-04-27 00:00:00+00:00,26,13,39,5
2026-04-28 00:00:00+00:00,38,15,19,5
2026-04-29 00:00:00+00:00,61,20,22,7
2026-04-30 00:00:00+00:00,32,12,23,8
2026-05-01 00:00:00+00:00,58,17,36,9
2026-05-02 00:00:00+00:00,40,11,23,13
2026-05-03 00:00:00+00:00,49,15,55,14
2026-05-04 00:00:00+00:00,45,15,31,8
2026-05-05 00:00:00+00:00,51,17,31,5
2026-05-06 00:00:00+00:00,22,12,10,8
2026-05-07 00:00:00+00:00,41,15,12,9
2026-05-08 00:00:00+00:00,54,21,14,8
