referrer,views_total,views_unique
Google,12,5
stratus-red-team.cloud,9,3
teams.public.onecdn.static.microsoft,8,1
github.com,4,3
maturitymodel.security.aws.dev,3,3
beyondnow-infonova.atlassian.net,3,1
aws.amazon.com,1,1
cloudsecdocs.com,1,1
