time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-07-13 00:00:00+00:00,16,5,120,11
2025-07-14 00:00:00+00:00,15,8,461,16
2025-07-15 00:00:00+00:00,22,12,127,20
2025-07-16 00:00:00+00:00,19,12,31,13
2025-07-17 00:00:00+00:00,10,4,38,11
2025-07-18 00:00:00+00:00,15,9,14,9
2025-07-19 00:00:00+00:00,13,7,148,6
2025-07-20 00:00:00+00:00,13,7,230,10
2025-07-21 00:00:00+00:00,13,7,299,12
2025-07-22 00:00:00+00:00,12,6,16,9
2025-07-23 00:00:00+00:00,15,8,157,9
2025-07-24 00:00:00+00:00,15,7,122,14
2025-07-25 00:00:00+00:00,21,10,109,11
2025-07-26 00:00:00+00:00,3,3,8,3
