url_path,views_total,views_unique
/awslabs/aws-cloudsaga,110,64
/awslabs/aws-cloudsaga/tree/main/cloudsaga,14,7
/awslabs/aws-cloudsaga/tree/main/cloudsaga/scenarios,10,5
/awslabs/aws-cloudsaga/tree/main/.github/workflows,7,4
/awslabs/aws-cloudsaga/actions/workflows/github-repo-stats.yml,7,1
/awslabs/aws-cloudsaga/blob/main/cloudsaga/cloudsaga.py,6,4
/awslabs/aws-cloudsaga/blob/main/cloudsaga/scenarios/iam_credentials.py,5,3
/awslabs/aws-cloudsaga/actions,5,1
/awslabs/aws-cloudsaga/blob/main/cloudsaga/scenarios/network_changes.py,3,2
/awslabs/aws-cloudsaga/blob/main/cloudsaga/__init__.py,2,2
