url_path,views_total,views_unique
/awslabs/aws-cloudsaga,163,95
/awslabs/aws-cloudsaga/issues,37,8
/awslabs/aws-cloudsaga/tree/main/cloudsaga,31,9
/awslabs/aws-cloudsaga/tree/main/cloudsaga/scenarios,28,8
/awslabs/aws-cloudsaga/forks,15,2
/awslabs/aws-cloudsaga/tree/main/screenshots,14,6
/awslabs/aws-cloudsaga/blob/main/cloudsaga/scenarios/iam_credentials.py,13,4
/awslabs/aws-cloudsaga/pulls,9,6
/awslabs/aws-cloudsaga/blob/main/CONTRIBUTING.md,9,3
/awslabs/aws-cloudsaga/blob/main/CHANGELOG.md,8,4
