time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-07-06 00:00:00+00:00,15,9,71,6
2025-07-07 00:00:00+00:00,16,10,60,9
2025-07-08 00:00:00+00:00,22,12,11,4
2025-07-09 00:00:00+00:00,19,12,12,8
2025-07-10 00:00:00+00:00,25,14,10,8
2025-07-11 00:00:00+00:00,13,7,16,6
2025-07-12 00:00:00+00:00,18,12,14,4
2025-07-13 00:00:00+00:00,16,5,120,11
2025-07-14 00:00:00+00:00,15,8,461,16
2025-07-15 00:00:00+00:00,22,12,127,20
2025-07-16 00:00:00+00:00,19,12,31,13
2025-07-17 00:00:00+00:00,10,4,38,11
2025-07-18 00:00:00+00:00,15,9,14,9
2025-07-19 00:00:00+00:00,2,2,143,5
