time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-30 00:00:00+00:00,2,2,17,4
2024-12-01 00:00:00+00:00,5,3,76,5
2024-12-02 00:00:00+00:00,3,3,101,22
2024-12-03 00:00:00+00:00,4,1,23,15
2024-12-04 00:00:00+00:00,4,3,16,12
2024-12-05 00:00:00+00:00,5,3,21,12
2024-12-06 00:00:00+00:00,3,3,48,11
2024-12-07 00:00:00+00:00,5,4,5,4
2024-12-08 00:00:00+00:00,2,2,26,8
2024-12-09 00:00:00+00:00,1,1,19,11
2024-12-10 00:00:00+00:00,2,2,118,20
2024-12-11 00:00:00+00:00,2,2,105,18
2024-12-12 00:00:00+00:00,3,2,44,14
2024-12-13 00:00:00+00:00,4,3,6,5
