time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-09-28 00:00:00+00:00,2,2,19,6
2024-09-29 00:00:00+00:00,1,1,132,7
2024-09-30 00:00:00+00:00,4,4,22,10
2024-10-01 00:00:00+00:00,3,3,23,13
2024-10-02 00:00:00+00:00,8,6,13,7
2024-10-03 00:00:00+00:00,4,2,13,8
2024-10-04 00:00:00+00:00,1,1,18,9
2024-10-05 00:00:00+00:00,5,4,6,4
2024-10-06 00:00:00+00:00,2,2,21,6
2024-10-07 00:00:00+00:00,3,3,34,16
2024-10-08 00:00:00+00:00,1,1,8,3
2024-10-09 00:00:00+00:00,4,4,9,6
2024-10-10 00:00:00+00:00,3,2,12,10
2024-10-11 00:00:00+00:00,1,1,12,9
