url_path,views_total,views_unique
/awslabs/aws-cloudsaga,154,121
/awslabs/aws-cloudsaga/tree/main/cloudsaga,14,13
/awslabs/aws-cloudsaga/tree/main/cloudsaga/scenarios,10,9
/awslabs/aws-cloudsaga/tree/main/screenshots,7,6
/awslabs/aws-cloudsaga/blob/main/screenshots/imds-reveal-example.png,6,6
/awslabs/aws-cloudsaga/blob/main/cloudsaga/scenarios/mining_bitcoin.py,4,4
/awslabs/aws-cloudsaga/blob/main/cloudsaga/scenarios/public_resources.py,3,3
/awslabs/aws-cloudsaga/blob/main/cloudsaga/scenarios/iam_credentials.py,2,2
/awslabs/aws-cloudsaga/blob/main/cloudsaga/cloudsaga.py,1,1
/awslabs/aws-cloudsaga/blob/main/.github/workflows/github-repo-stats.yml,1,1
