time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-06-02 00:00:00+00:00,5,4,27,19
2023-06-03 00:00:00+00:00,5,4,6,6
2023-06-04 00:00:00+00:00,5,4,6,6
2023-06-05 00:00:00+00:00,4,4,39,23
2023-06-06 00:00:00+00:00,5,4,19,10
2023-06-07 00:00:00+00:00,6,5,34,23
2023-06-08 00:00:00+00:00,8,7,5,5
2023-06-09 00:00:00+00:00,7,6,14,13
2023-06-10 00:00:00+00:00,7,7,2,2
2023-06-11 00:00:00+00:00,17,7,10,5
2023-06-12 00:00:00+00:00,41,9,26,10
2023-06-13 00:00:00+00:00,8,7,17,9
2023-06-14 00:00:00+00:00,11,10,15,11
2023-06-15 00:00:00+00:00,8,6,16,11
2023-06-16 00:00:00+00:00,7,6,27,22
2023-06-17 00:00:00+00:00,8,7,5,4
2023-06-18 00:00:00+00:00,8,7,3,3
2023-06-19 00:00:00+00:00,18,7,15,14
2023-06-20 00:00:00+00:00,9,5,31,12
2023-06-21 00:00:00+00:00,7,5,15,13
2023-06-22 00:00:00+00:00,6,5,30,10
2023-06-23 00:00:00+00:00,5,4,8,8
2023-06-24 00:00:00+00:00,5,4,0,0
2023-06-25 00:00:00+00:00,6,5,1,1
2023-06-26 00:00:00+00:00,6,5,15,13
2023-06-27 00:00:00+00:00,4,4,9,4
2023-06-28 00:00:00+00:00,7,6,11,8
2023-06-29 00:00:00+00:00,6,5,15,13
2023-06-30 00:00:00+00:00,6,5,13,6
2023-07-01 00:00:00+00:00,6,5,8,3
2023-07-02 00:00:00+00:00,5,4,6,5
2023-07-03 00:00:00+00:00,8,7,23,15
2023-07-04 00:00:00+00:00,6,5,11,7
2023-07-05 00:00:00+00:00,7,6,41,16
2023-07-06 00:00:00+00:00,5,4,19,10
2023-07-07 00:00:00+00:00,6,5,21,17
2023-07-08 00:00:00+00:00,5,4,2,2
2023-07-09 00:00:00+00:00,6,5,1,1
2023-07-10 00:00:00+00:00,6,5,84,16
2023-07-11 00:00:00+00:00,8,6,61,9
2023-07-12 00:00:00+00:00,6,5,31,11
2023-07-13 00:00:00+00:00,5,4,6,5
2023-07-14 00:00:00+00:00,6,5,1,1
2023-07-15 00:00:00+00:00,6,5,1,1
2023-07-16 00:00:00+00:00,5,4,2,2
2023-07-17 00:00:00+00:00,7,6,23,11
2023-07-18 00:00:00+00:00,10,8,31,14
2023-07-19 00:00:00+00:00,6,5,19,15
2023-07-20 00:00:00+00:00,6,5,17,11
2023-07-21 00:00:00+00:00,6,5,22,17
2023-07-22 00:00:00+00:00,5,4,4,4
2023-07-23 00:00:00+00:00,5,4,4,4
2023-07-24 00:00:00+00:00,6,5,22,20
2023-07-25 00:00:00+00:00,5,4,13,13
2023-07-26 00:00:00+00:00,8,6,36,12
2023-07-27 00:00:00+00:00,5,4,15,10
2023-07-28 00:00:00+00:00,8,6,14,6
2023-07-29 00:00:00+00:00,6,5,22,4
2023-07-30 00:00:00+00:00,7,6,9,9
2023-07-31 00:00:00+00:00,7,6,26,14
2023-08-01 00:00:00+00:00,8,7,42,19
2023-08-02 00:00:00+00:00,6,5,15,11
2023-08-03 00:00:00+00:00,5,4,30,12
2023-08-04 00:00:00+00:00,5,4,17,13
2023-08-05 00:00:00+00:00,6,5,14,3
2023-08-06 00:00:00+00:00,7,6,17,5
2023-08-07 00:00:00+00:00,6,5,12,10
2023-08-08 00:00:00+00:00,6,5,85,10
2023-08-09 00:00:00+00:00,6,5,8,8
2023-08-10 00:00:00+00:00,6,5,8,8
2023-08-11 00:00:00+00:00,6,5,19,4
2023-08-12 00:00:00+00:00,8,6,2,2
2023-08-13 00:00:00+00:00,6,5,3,2
2023-08-14 00:00:00+00:00,6,5,14,10
2023-08-15 00:00:00+00:00,5,4,1,1
2023-08-16 00:00:00+00:00,5,4,24,5
2023-08-17 00:00:00+00:00,6,5,8,4
2023-08-18 00:00:00+00:00,5,4,26,10
